game_id,spread
0022400860,3.5
0022400861,12.5
0022400862,4.0
0022400863,5.0
0022400864,-6.5
0022400865,-2.5
0022400866,5.5
0022400867,10.5
0022400868,11.5
0022400869,-6.0
0022400870,7.0
0022400871,-13.0
0022400872,-7.5
0022400873,-1.5
0022400874,-2.5
0022400875,-12.5
0022400876,-1.0
0022400877,8.5
0022400878,8.0
0022400879,14.0
0022400880,-2.0
0022400881,-10.5
0022400882,4.5
0022400883,6.0
0022400884,-5.0
0022400885,1.0
0022400886,-13.5
0022400887,13.0
0022400888,3.5
0022400889,-3.0
0022400890,8.0
0022400891,9.0
0022400892,-9.0
0022400893,13.5
0022400894,5.5
0022400895,-7.0
0022400896,8.0
0022400897,12.0
0022400898,-3.0
0022400899,2.0
0022400900,13.5
0022400901,-11.5
0022400902,-3.5
0022400903,2.5
0022400944,8.5
0022400904,-16.0
0022400905,5.5
0022400906,-9.5
0022400907,-3.5
0022400908,2.0
0022400909,9.0
0022400910,6.5
0022400911,6.5
0022400912,-6.0
0022400913,7.0
0022400914,-1.5
0022400915,4.0
0022400916,5.0
0022400917,6.5
0022400918,6.5
0022400919,5.0
0022400920,7.5
0022400921,-6.5
0022400922,-7.0
0022400923,-10.0
0022400924,6.0
0022400925,11.0
0022400926,-4.0
0022400927,6.0
0022400928,9.5
0022400929,16.0
0022400930,-5.0
0022400931,9.0
0022400932,7.0
0022400933,-4.0
0022400934,3.0
0022400935,2.5
0022400936,9.5
0022400937,6.5
0022400938,12.0
0022400939,-1.5
0022400940,15.0
0022400941,15.0
0022400942,1.5
0022400943,-7.5
0022400945,7.5
0022400946,3.0
0022400947,2.5
0022400948,2.0
0022400949,4.5
0022400950,10.5
0022400951,6.0
0022400952,1.5
0022400953,-4.0
0022400954,13.5
0022400955,6.0
0022400956,2.0
0022400957,7.5
0022401141,-2.0
0022400958,-7.5
0022400959,-13.0
0022400960,-5.0
0022400961,12.0
0022400962,-2.0
0022400963,11.0
0022400964,2.5
0022400965,15.0
0022400966,2.0
0022400967,2.0
0022400968,-11.0
0022400969,-4.0
0022400970,8.0
0022400971,5.0
0022400972,3.5
0022400973,1.0
0022400974,7.0
0022400975,12.0
0022400538,13.5
0022400976,6.5
0022400977,3.0
0022400978,-6.5
0022400979,10.0
0022400980,7.0
0022400981,13.5
0022400982,-5.5
0022400537,9.0
0022400984,7.0
0022400985,17.0
0022400986,10.5
0022400987,-6.5
0022400989,-4.5
0022400990,12.5
0022400991,9.0
0022400992,3.0
0022400995,6.5
0022400993,-8.0
0022400994,13.5
0022400997,-2.5
0022401012,-2.0
0022400627,2.5
0022400998,10.5
0022400999,-2.5
0022401000,-4.5
0022401001,13.5
0022401002,12.0
0022401003,-8.0
0022401006,5.5
0022401007,5.5
0022401008,-4.5
0022401009,-6.0
0022400996,-8.0
0022401005,14.5
0022401010,-7.5
0022401011,8.0
0022401013,7.5
0022401014,-8.5
0022401015,-4.5
0022401016,15.0
0022401017,20.5
0022401018,6.0
0022401019,-9.5
0022401020,-15.0
0022401021,-8.5
0022401022,-2.0
0022401023,6.5
0022401024,13.5
0022401025,-2.5
0022401026,15.5
0022401027,1.5
0022401028,10.5
0022401029,11.5
0022401030,-16.5
0022401031,10.5
0022401032,7.5
0022401033,-1.0
0022401034,-6.5
0022401035,7.5
0022401036,-1.0
0022401037,-2.0
0022401038,-4.0
0022401039,2.5
0022401040,-3.0
0022401041,3.0
0022401042,2.5
0022401043,2.5
0022401044,-5.0
0022401045,-5.0
0022401046,9.0
0022401047,-5.0
0022401048,11.5
0022401049,7.5
0022401050,-11.5
0022401051,-6.5
0022401052,-8.0
0022401053,3.0
0022401054,2.5
0022401055,1.0
0022401056,-4.5
0022401057,11.0
0022401058,-5.0
0022401059,14.0
0022401060,7.0
0022401061,-12.0
0022401062,1.5
0022401063,-4.0
0022401064,10.5
0022401065,-13.5
0022401066,5.5
0022401067,-6.5
0022401068,-13.0
0022401069,5.5
0022401070,1.0
0022401071,7.5
0022401072,-16.0
0022401073,19.0
0022401074,1.5
0022401075,2.0
0022401076,-8.0
0022401077,3.0
0022401078,1.0
0022401079,8.0
0022401080,-12.5
0022401081,7.0
0022401082,6.5
0022401084,7.5
0022401088,-2.5
0022401089,4.5
0022401090,3.5
0022401091,-3.0
0022401092,-9.5
0022401093,-4.0
0022401094,15.0
0022401095,10.0
0022401096,4.0
0022400988,-5.0
0022401097,5.5
0022401098,13.0
0022401099,4.0
0022401100,-3.5
0022401101,7.0
0022401102,2.0
0022401103,10.5
0022401104,15.0
0022401105,-13.5
0022401106,10.5
0022401108,13.0
0022401110,2.5
0022401111,18.0
0022401116,-5.0
0022401117,1.0
0022401118,-11.5
0022401119,17.5
0022401120,15.0
0022401121,-10.0
0022401122,6.5
0022401123,-5.5
0022401124,-12.5
0022401125,3.0
0022401126,16.0
0022401127,12.0
0022401128,-1.0
0022401129,-1.5
0022401130,-16.5
0022401131,1.0
0022401132,9.5
0022400617,-6.0
0022401133,-8.0
0022401134,-2.5
0022401135,9.0
0022401136,13.0
0022401137,19.5
0022401138,9.5
0022401139,3.5
0022401140,9.5
0022401142,5.5
0022401143,5.5
0022401144,5.5
0022401145,10.5
0022401146,-14.5
0022401147,14.5
0022401148,19.0
0022401149,5.5
0022401150,1.0
0022401151,-2.5
0022401152,-6.0
0022401153,9.5
0022401154,-10.0
0022401155,12.5
0022401156,8.0
