simulation,OKC,LAL,PHX,UTA,MIL,MEM,CHI,POR,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,LAC,NOP,SAC,HOU,BRK,TOR,PHI,DEN,MIN,WAS,MIA,SAS,CLE,DET
784,64,46,38,26,41,41,39,36,45,44,57,35,25,53,27,43,47,25,16,50,28,46,44,53,50,18,44,52,50,48
785,60,49,45,23,38,39,39,34,42,51,46,35,35,46,22,50,43,17,22,54,33,40,48,50,50,25,46,50,48,51
786,62,51,38,28,32,41,43,41,48,51,46,27,37,50,19,40,33,28,18,56,26,42,42,53,48,29,43,52,47,60
787,53,39,54,25,37,37,39,34,49,40,47,32,35,49,22,48,36,23,29,56,28,55,44,55,45,23,43,54,52,48
788,63,45,43,33,34,36,40,44,47,52,51,35,33,47,24,43,35,20,26,51,19,41,50,53,46,26,36,55,48,55
789,65,36,46,21,35,36,34,40,39,54,56,32,35,54,19,45,39,31,23,54,31,41,41,53,51,28,48,52,43,49
790,64,43,45,26,40,35,34,38,42,45,50,30,34,62,25,41,37,23,20,58,24,48,48,52,50,27,37,50,44,59
791,62,47,43,22,40,35,36,38,35,47,47,37,27,54,25,51,46,25,23,56,32,44,47,47,52,18,45,51,49,50
792,64,47,46,23,38,42,34,40,40,45,49,36,31,51,24,47,40,21,27,53,29,45,41,56,48,19,47,48,50,50
793,63,49,46,29,40,37,26,35,46,53,51,31,31,54,26,39,45,17,20,49,20,47,50,52,47,23,44,48,50,63
794,63,55,39,25,39,42,31,38,49,43,48,40,32,51,29,44,36,27,18,42,20,42,42,53,51,23,46,56,50,57
795,60,45,50,27,39,35,31,37,43,44,51,29,33,57,17,40,43,24,24,56,28,45,46,48,53,20,47,57,44,58
796,63,51,42,24,46,42,35,35,39,44,42,35,29,47,25,45,41,24,29,47,23,49,47,56,50,17,46,53,47,58
797,64,46,44,22,41,38,30,43,43,41,43,38,32,53,22,43,37,21,24,58,29,51,47,53,54,23,42,53,43,53
798,63,41,41,22,43,34,33,40,47,44,45,28,29,41,32,50,44,23,25,56,28,46,48,52,55,23,44,52,46,56
799,68,49,42,24,38,36,35,49,43,46,59,38,23,49,29,41,35,29,16,50,28,42,52,49,48,17,42,51,46,57
800,64,45,38,24,37,36,40,42,39,50,54,29,31,50,27,45,42,21,18,51,28,42,49,56,51,23,48,52,48,51
801,65,47,45,27,39,33,38,39,42,45,50,37,24,41,18,44,43,22,25,58,28,47,40,55,57,19,51,51,47,54
802,63,42,50,24,41,38,32,41,43,53,58,32,29,47,19,46,40,22,23,45,27,43,47,50,54,29,42,51,50,50
803,62,50,47,18,40,38,32,43,40,37,53,35,34,50,21,44,48,24,23,49,19,43,42,50,45,26,55,51,52,60
804,68,49,36,28,38,40,39,37,43,41,49,34,30,53,31,38,36,22,25,57,26,46,44,51,49,25,49,50,48,49
805,62,42,40,32,37,39,36,38,38,52,49,39,34,44,19,49,44,18,19,50,37,46,49,52,46,27,43,50,46,54
806,57,42,48,25,29,32,28,45,41,46,46,35,35,50,22,40,44,23,18,55,31,46,53,60,45,22,50,54,50,59
807,59,43,53,26,34,41,34,41,43,49,53,31,35,49,26,35,40,24,22,62,29,49,42,44,52,24,48,52,40,51
808,65,49,39,26,40,37,30,39,37,46,48,38,37,48,26,47,41,24,29,52,27,38,43,49,48,25,50,52,45,56
809,66,46,37,35,37,26,39,42,49,51,48,26,22,56,29,52,42,28,21,47,19,44,43,54,48,21,46,50,53,54
810,63,52,54,25,31,32,36,46,36,43,54,29,27,50,28,40,37,30,26,52,23,43,46,55,45,25,44,48,53,58
811,65,51,48,30,32,36,43,47,38,47,47,36,29,53,22,50,36,19,22,50,21,40,49,48,53,15,40,58,54,52
812,65,50,51,26,34,31,38,40,41,46,48,38,33,51,26,51,46,20,23,49,28,41,44,49,45,21,41,51,48,56
813,59,51,47,24,32,34,37,39,43,44,49,32,35,52,25,48,42,25,24,52,26,42,39,56,47,21,47,54,51,54
814,58,48,38,28,34,45,25,41,42,50,49,31,32,52,21,50,48,24,22,48,26,44,45,51,47,28,44,51,51,58
815,64,49,42,27,38,30,42,42,45,45,48,33,31,48,19,49,43,22,20,49,29,46,43,54,52,20,47,47,52,55
816,63,44,47,27,32,40,35,44,42,53,48,37,31,55,22,48,41,21,26,50,21,51,44,53,49,30,39,50,40,48
817,65,54,47,25,35,43,34,34,43,42,55,33,30,50,29,45,37,17,24,48,23,47,47,54,52,20,44,55,46,53
818,62,49,44,19,41,43,36,43,46,47,45,38,32,45,24,49,41,27,26,49,25,48,49,50,44,23,39,52,47,48
819,67,44,46,26,44,32,31,38,36,49,51,35,33,54,20,44,42,22,23,56,28,49,40,60,48,19,47,52,43,52
820,63,38,45,23,40,44,34,35,50,46,48,35,26,50,22,45,36,27,24,54,29,47,45,46,49,24,42,54,52,58
821,70,45,37,25,42,37,33,43,41,47,51,32,32,53,29,44,42,18,28,52,21,49,47,51,45,22,43,53,46,53
822,64,49,46,21,39,32,30,39,45,38,58,30,41,47,21,47,39,21,22,50,26,42,47,45,52,22,50,58,53,57
823,63,46,39,19,45,38,38,45,48,42,51,32,34,47,20,45,41,22,20,52,24,50,53,47,45,22,43,57,49,54
824,62,44,48,26,36,37,37,39,35,42,54,29,28,53,23,40,49,17,24,58,27,47,48,53,49,26,44,53,51,52
825,58,46,41,24,42,44,38,37,34,48,52,38,30,51,25,49,44,22,23,48,25,50,47,52,50,19,48,54,43,49
826,63,51,43,32,45,37,34,39,41,42,46,39,32,53,19,43,38,21,22,53,21,44,47,55,50,23,46,50,52,50
827,61,48,47,31,32,40,35,34,43,49,49,37,37,53,21,44,40,20,25,52,19,45,42,51,48,23,49,54,51,51
828,60,48,46,30,33,42,32,40,45,42,48,37,34,53,19,48,42,19,20,47,26,46,54,44,58,25,43,48,48,54
829,62,46,48,25,38,40,34,48,36,48,49,34,35,55,22,43,39,24,27,59,32,48,36,47,47,18,40,50,49,52
830,61,39,42,24,30,40,33,38,38,55,60,39,31,48,32,56,37,21,22,46,19,48,45,49,50,20,51,58,47,52
831,65,49,49,27,41,31,30,45,40,43,48,29,29,50,26,49,39,19,21,58,36,44,48,47,39,22,53,56,47,51
832,53,46,49,23,39,40,32,45,34,46,46,32,33,49,23,50,38,23,23,60,35,45,45,56,50,21,44,49,47,55
833,63,47,41,31,46,42,40,39,45,51,44,39,32,46,24,36,40,20,17,54,26,45,50,54,45,25,39,52,45,53
834,65,50,39,32,31,37,34,33,44,48,60,32,34,49,16,48,36,22,19,50,27,50,47,54,47,23,40,53,50,61
835,68,51,45,33,37,39,43,31,44,44,50,27,28,48,20,45,44,21,25,54,36,42,42,55,47,22,37,53,47,53
836,59,47,40,27,34,40,33,42,45,51,53,39,34,52,23,48,40,25,24,50,27,41,48,50,53,22,36,55,47,46
837,62,45,46,31,42,39,33,42,35,43,50,29,33,55,21,48,39,20,21,54,37,43,49,50,45,22,44,48,48,57
838,59,46,56,30,41,38,40,49,45,45,43,34,30,51,20,48,40,25,21,46,28,52,33,45,48,17,45,48,50,58
839,60,51,48,28,46,34,36,44,48,47,50,33,29,52,18,38,40,23,25,51,29,51,40,53,49,22,45,53,40,48
840,64,43,59,24,39,44,34,43,48,43,45,36,25,52,19,41,39,20,22,47,30,52,45,56,50,20,42,56,48,45
841,60,47,37,32,35,38,33,41,46,50,53,32,27,53,26,48,41,26,24,45,27,47,47,57,46,17,36,53,50,57
842,64,48,36,31,34,41,30,43,39,43,47,30,37,59,24,42,41,17,24,53,26,46,43,47,55,23,53,57,46,52
843,64,48,41,26,43,33,40,46,41,41,49,35,30,51,19,41,41,22,28,52,34,45,48,57,53,22,41,46,47,47
844,60,47,42,26,39,35,39,45,49,45,61,33,33,45,21,40,33,20,22,47,27,48,52,56,52,19,40,51,45,59
845,63,47,43,21,38,29,28,42,47,44,50,30,31,50,28,43,40,26,30,48,31,45,53,53,49,22,44,55,45,56
846,66,37,48,30,36,40,30,36,41,54,56,34,35,48,22,45,38,24,18,48,22,48,46,50,53,24,44,51,50,57
847,62,49,46,33,38,34,33,41,41,48,48,38,37,52,16,42,36,21,22,49,31,44,42,56,48,21,45,52,48,58
848,64,53,41,26,33,36,38,40,44,47,50,40,37,42,19,49,41,24,21,56,27,43,50,44,47,21,45,53,46,54
849,58,52,46,26,40,38,33,43,43,40,41,33,37,58,25,50,35,22,23,49,24,43,46,54,47,24,41,52,53,55
850,63,50,49,25,38,35,35,41,48,38,52,37,26,53,29,44,41,21,23,55,25,45,41,52,49,16,39,56,50,55
851,69,39,48,30,39,30,39,37,39,44,47,34,33,54,25,53,38,27,19,50,26,40,40,54,48,25,50,56,46,52
852,62,50,43,23,41,47,33,44,41,45,52,24,36,56,24,48,42,27,16,47,21,41,46,53,51,21,41,51,46,59
853,64,40,49,24,37,39,37,41,52,45,43,34,33,54,20,54,46,20,29,44,26,45,41,56,47,24,45,42,47,53
854,62,44,47,23,37,38,37,39,43,47,49,36,28,55,21,49,44,25,24,47,33,41,42,52,50,21,38,59,53,47
855,62,45,46,26,42,30,34,49,45,52,47,25,31,48,29,44,43,18,18,49,22,51,57,55,46,31,40,47,47,52
856,64,44,48,24,38,39,33,39,41,45,53,32,33,52,32,45,36,26,17,45,25,45,50,54,51,22,49,56,47,46
857,61,51,48,26,39,40,35,34,44,50,49,33,31,47,19,45,37,25,20,49,26,49,42,56,53,28,44,51,42,57
858,59,45,41,22,40,38,36,50,43,43,48,36,30,61,23,47,41,22,25,48,22,50,54,45,50,17,47,50,46,52
859,60,47,44,30,39,37,39,39,47,51,51,36,31,51,18,46,34,21,21,46,34,42,38,48,55,28,40,58,43,57
860,63,48,43,27,40,31,38,38,43,51,49,34,40,53,26,45,47,23,21,45,23,40,45,51,49,18,40,51,49,60
861,67,51,49,32,40,37,37,42,49,48,42,31,32,54,22,41,43,21,21,46,24,40,52,53,51,22,38,52,43,51
862,64,48,48,26,33,40,39,42,46,45,43,35,27,48,19,48,44,28,17,47,32,41,52,49,50,17,48,55,48,52
863,59,48,51,23,37,44,34,39,36,43,52,43,24,58,24,46,44,18,26,48,30,46,41,54,51,21,30,49,50,62
864,67,46,47,33,47,45,34,37,42,43,48,31,28,50,20,50,36,19,24,57,27,40,49,50,52,23,40,53,44,49
865,62,53,49,29,37,41,43,33,46,51,54,32,30,52,17,41,41,24,25,50,21,39,43,44,53,21,46,56,44,54
866,57,45,47,22,37,40,36,41,43,41,53,35,34,54,23,46,43,23,17,50,24,48,49,55,49,22,42,53,45,57
867,66,47,43,35,36,35,33,40,48,43,44,40,35,51,28,48,33,19,26,50,18,48,43,53,54,18,43,54,46,54
868,64,52,45,25,32,43,43,50,42,44,53,23,29,57,26,38,29,30,18,52,25,46,50,48,50,23,44,51,45,54
869,62,52,36,24,39,36,43,41,44,49,49,36,31,51,22,52,45,30,24,44,24,35,48,50,53,22,48,48,37,56
870,71,49,36,22,40,35,33,38,43,40,55,30,31,56,27,45,49,21,23,55,28,40,46,47,52,19,52,48,45,55
871,64,44,41,32,46,30,40,41,40,41,54,37,26,52,29,51,33,28,24,49,22,43,46,56,46,22,39,57,43,55
872,61,40,41,30,30,45,36,44,43,40,50,24,34,46,26,47,37,21,27,57,28,50,42,50,48,20,46,60,47,61
873,61,50,42,29,33,42,43,45,42,49,47,34,36,49,25,42,37,27,20,61,23,41,43,48,49,17,43,49,50,54
874,65,48,40,25,41,38,38,43,40,50,48,33,29,52,25,43,38,20,23,56,25,51,43,48,52,22,45,47,47,56
875,61,48,45,29,34,41,34,46,35,49,50,34,34,48,19,54,34,22,19,52,30,49,44,52,51,22,44,53,49,49
876,66,50,42,26,40,39,37,35,40,45,53,33,32,53,20,41,39,25,18,49,27,42,53,48,54,14,41,64,46,59
877,63,44,43,25,34,41,39,40,40,49,46,22,33,51,23,47,48,22,23,52,31,43,48,53,43,21,50,53,50,54
878,65,49,44,26,40,36,27,47,37,49,51,29,37,55,17,46,45,22,22,52,29,44,43,53,49,17,47,54,48,51
879,67,50,48,32,30,33,38,49,43,47,50,28,32,50,16,41,35,24,28,56,22,44,55,52,52,18,45,52,44,50
880,62,36,43,29,33,38,40,42,39,46,49,31,36,54,28,52,35,20,21,55,23,47,44,48,49,24,48,55,53,51
881,62,45,46,18,34,44,31,41,45,46,47,38,37,48,22,47,38,28,20,49,27,49,50,51,49,21,41,54,45,58
882,64,46,49,24,36,34,31,39,43,48,55,25,33,53,21,43,38,18,30,58,29,40,49,53,50,23,48,51,49,51
883,64,50,47,25,32,42,41,39,41,47,50,32,33,50,22,46,42,19,24,49,28,41,50,43,56,19,44,58,44,53
884,61,46,41,23,48,36,31,45,36,44,50,38,30,58,26,48,30,17,28,51,28,44,46,53,50,15,50,52,47,59
885,63,56,37,34,45,47,40,37,40,43,45,31,29,48,17,50,43,22,21,53,29,39,37,50,51,25,47,52,49,51
886,61,52,49,28,33,38,40,41,46,46,50,30,29,53,22,49,41,18,23,46,22,51,46,58,51,22,41,52,44,49
887,61,45,43,30,45,34,33,38,37,41,53,35,30,40,21,44,40,18,25,56,32,45,48,58,54,27,42,47,51,58
888,57,54,36,32,36,33,38,38,41,41,52,35,37,54,22,40,49,23,18,50,21,47,43,52,50,23,43,55,47,64
889,60,46,38,28,41,35,34,44,34,47,52,36,34,57,21,47,39,24,18,49,27,48,52,60,42,26,38,51,48,55
890,58,41,43,33,51,34,43,38,43,40,49,37,37,47,15,47,35,23,23,51,36,49,45,56,51,25,42,46,41,52
891,65,44,48,26,36,36,40,35,43,50,53,36,36,55,16,44,43,20,22,61,21,46,46,52,42,28,44,49,44,50
892,62,46,43,29,35,37,26,39,44,50,58,34,33,49,19,48,42,23,21,47,19,49,48,55,53,19,46,57,46,54
893,67,45,50,25,36,35,39,41,45,47,46,29,32,50,23,49,38,24,22,49,30,44,34,53,46,25,39,56,54,58
894,60,48,47,25,38,44,25,45,40,47,58,25,42,47,23,41,40,16,26,54,23,46,45,47,53,24,47,55,44,56
895,66,46,41,29,36,40,40,39,43,49,55,28,34,52,22,37,37,22,16,48,25,45,54,46,50,28,46,58,45,54
896,64,48,47,23,35,40,37,44,42,48,49,26,25,50,23,43,44,24,15,55,31,43,52,56,52,29,33,56,44,53
897,67,47,46,25,39,31,37,42,47,37,47,38,29,49,17,46,35,24,28,55,31,44,50,49,55,25,40,50,45,56
898,63,40,49,25,37,40,33,41,41,43,49,31,32,53,25,49,41,21,30,56,25,45,38,48,43,27,50,51,48,57
899,63,49,47,24,30,36,47,44,39,46,51,28,36,49,20,42,39,28,24,48,26,47,47,52,50,22,48,55,44,50
900,58,50,44,24,33,44,35,45,43,43,53,29,28,47,17,45,42,21,19,45,38,56,48,51,52,19,43,48,53,58
901,56,50,40,30,33,38,37,42,38,48,55,33,24,55,31,43,46,19,21,51,23,43,43,53,56,23,46,53,48,53
902,62,48,43,23,46,41,39,40,38,44,50,34,31,47,16,55,36,24,24,60,23,46,40,48,51,21,45,51,52,53
903,63,36,42,31,29,38,34,36,41,43,51,41,42,58,33,36,39,20,17,52,30,46,40,55,54,27,45,58,48,46
904,66,49,41,25,31,33,30,50,39,45,55,33,24,52,19,49,38,23,25,51,34,44,38,56,53,24,45,57,48,54
905,56,40,50,30,40,39,38,38,47,50,46,33,30,48,19,43,43,20,23,58,20,45,50,52,50,22,42,53,49,57
906,59,49,44,27,42,33,30,42,35,44,53,29,35,50,29,50,45,21,23,55,27,49,50,52,52,23,35,49,45,54
907,68,43,38,29,40,37,42,44,48,38,47,35,36,51,21,40,37,30,23,52,26,45,44,50,49,18,40,54,51,55
908,61,48,43,27,40,36,32,45,46,48,54,28,33,49,30,46,35,19,19,54,24,56,41,56,45,21,39,57,41,58
909,66,49,38,30,38,35,38,41,45,46,52,29,32,46,23,46,41,22,20,57,25,46,52,51,48,20,45,44,46,60
910,62,49,45,26,38,33,40,40,46,53,48,39,24,61,19,50,40,26,22,54,25,40,42,53,48,17,43,49,48,51
911,61,50,51,29,43,34,32,30,42,47,44,32,32,54,17,48,42,24,25,47,29,47,48,53,55,22,43,53,46,51
