simulation,OKC,LAL,DAL,CHO,BOS,ORL,ATL,NYK,CHI,MEM,POR,MIL,UTA,PHX,IND,GSW,BRK,HOU,TOR,SAC,LAC,NOP,PHI,DEN,SAS,DET,CLE,MIA,WAS,MIN
15,57,54,28,31,55,50,42,48,33,32,38,38,24,41,30,45,26,52,38,23,30,29,46,62,56,56,54,38,21,54
16,60,47,27,21,59,43,45,54,32,40,37,44,20,47,24,45,33,53,37,20,45,32,43,61,51,52,50,44,20,45
17,65,39,37,30,53,48,42,52,40,50,40,41,20,37,34,40,23,51,34,29,34,25,47,59,46,51,46,47,29,42
18,55,50,40,31,40,50,49,56,39,33,46,27,21,49,21,40,23,48,42,22,40,29,49,56,53,51,46,45,30,50
19,70,42,35,23,44,44,36,50,38,35,45,30,25,44,21,48,19,51,49,26,44,21,47,51,53,57,54,50,25,54
20,65,40,33,31,51,49,41,46,42,38,38,45,19,43,30,43,34,54,46,18,40,21,36,56,51,58,45,42,19,57
21,67,49,27,25,54,49,49,54,32,45,40,34,30,42,22,42,17,55,47,22,45,23,47,48,51,57,42,46,25,45
22,64,46,44,25,54,48,40,48,30,38,42,36,32,45,19,41,24,57,46,27,35,20,44,54,57,58,44,41,25,47
23,65,55,30,33,54,51,38,48,35,38,42,32,25,40,20,38,27,52,48,22,47,21,47,53,56,51,52,42,20,49
24,71,42,45,34,45,48,45,52,41,36,40,36,25,39,26,45,23,50,43,25,38,21,39,55,55,52,51,44,22,43
25,57,50,40,25,49,50,45,58,38,44,35,28,21,43,16,40,26,53,51,25,40,18,53,57,55,54,52,45,21,42
26,61,52,38,34,51,54,36,49,31,35,48,31,14,36,17,49,29,54,48,27,38,31,48,50,52,55,43,44,25,51
27,68,47,36,27,45,48,42,55,38,38,33,45,19,41,19,47,31,55,42,20,44,32,41,49,47,52,47,49,25,49
28,66,46,37,32,48,50,45,52,29,47,35,36,22,42,19,45,33,56,50,17,40,25,42,49,46,50,46,53,26,47
29,66,51,42,39,51,42,32,50,37,43,35,30,22,50,20,48,31,49,51,25,34,27,45,52,45,51,46,48,22,47
30,62,48,31,25,48,51,39,56,32,36,43,36,23,44,22,53,23,55,46,25,35,23,36,55,53,49,54,56,25,47
31,67,54,24,29,44,43,44,57,27,36,45,36,22,47,22,47,33,55,43,28,35,20,46,49,57,56,37,51,25,52
32,64,48,38,26,50,49,40,58,43,36,27,41,16,40,17,45,34,45,44,27,29,19,52,49,58,52,47,53,29,55
33,65,50,25,31,50,45,42,51,39,37,42,27,23,48,13,44,30,43,52,22,39,32,48,56,49,53,50,58,23,44
34,59,49,32,24,48,48,41,55,38,35,45,32,35,54,21,46,23,60,33,25,29,26,43,55,51,57,50,39,28,50
35,65,43,37,33,51,50,31,46,34,43,33,36,23,47,24,49,28,62,43,21,41,31,49,56,47,51,42,43,26,46
36,66,55,29,33,56,49,45,50,33,37,35,38,28,46,23,42,20,56,42,25,44,19,38,53,53,58,55,41,19,43
37,67,49,34,21,51,53,49,52,32,39,50,36,23,36,30,47,21,55,48,24,43,29,38,44,52,51,45,45,25,42
38,60,41,42,36,52,46,38,50,44,40,42,33,34,36,20,35,26,62,43,26,40,17,36,54,49,58,52,49,22,48
39,61,52,33,27,53,50,42,57,31,33,37,36,32,45,27,42,26,54,47,26,37,20,39,48,54,56,46,45,23,52
40,62,49,32,30,51,50,40,51,37,36,45,46,24,39,18,47,28,52,47,24,40,22,48,50,43,54,48,44,27,47
41,64,51,34,26,47,52,40,56,27,38,43,39,23,41,19,43,31,51,41,36,38,18,40,48,49,56,51,50,26,53
42,66,42,43,30,48,47,44,54,29,41,42,37,26,40,20,45,22,48,46,31,39,25,36,56,56,46,56,46,20,50
43,62,50,24,27,49,48,36,55,35,42,38,43,23,48,21,45,44,47,39,16,42,26,42,57,53,53,41,46,30,49
44,67,48,31,32,45,55,45,49,40,36,36,37,19,40,25,48,32,59,41,23,37,19,52,51,47,59,52,41,19,46
45,70,49,30,33,49,52,43,54,33,43,36,36,26,40,16,50,22,41,39,25,40,20,50,50,45,55,53,50,25,56
46,63,39,32,29,48,56,42,50,39,40,35,40,20,41,22,47,31,56,42,40,36,17,49,54,49,53,48,42,29,42
47,66,37,33,36,48,51,45,52,30,39,33,32,24,45,22,54,26,54,41,20,41,17,47,61,52,49,53,47,28,48
48,57,46,31,36,54,44,48,54,42,31,37,38,15,48,22,46,31,48,46,20,43,22,49,52,47,46,50,48,28,52
49,60,47,37,22,53,45,42,51,33,40,36,41,30,47,24,42,27,55,43,21,41,26,50,54,45,47,52,43,25,52
50,66,44,36,33,39,49,49,50,42,45,36,30,21,46,29,43,18,49,38,26,43,28,47,57,48,54,53,46,22,44
51,66,47,23,35,40,52,48,55,32,37,36,44,28,46,21,47,25,50,43,25,42,21,50,47,55,58,46,40,25,47
52,64,48,31,29,55,50,32,55,39,38,36,32,23,42,23,49,31,57,48,31,43,26,51,41,54,44,47,42,24,46
53,67,47,29,26,57,40,39,56,35,45,47,38,21,41,20,39,31,49,57,27,41,21,50,52,43,52,48,45,19,49
54,70,43,30,39,50,48,40,44,35,42,38,34,25,45,25,48,24,54,47,15,39,25,32,55,60,54,48,43,30,49
55,66,45,37,30,61,49,37,53,28,47,38,34,20,51,19,35,33,50,47,28,36,20,50,48,47,60,52,48,17,45
56,61,41,34,36,49,42,38,58,37,46,28,41,27,42,20,49,33,56,38,22,44,21,48,56,48,48,48,43,24,53
57,63,43,37,28,45,46,46,55,31,29,38,34,21,47,23,43,30,53,47,27,37,26,46,50,57,49,48,55,23,54
58,65,47,31,34,53,47,37,52,32,33,41,40,26,35,19,42,31,54,45,30,43,21,47,58,48,53,47,48,23,49
59,59,52,33,39,43,49,42,54,35,48,37,33,21,38,21,49,20,57,39,23,47,25,41,53,47,52,45,54,30,45
60,62,47,37,23,48,46,40,56,43,47,46,37,28,30,19,43,33,55,40,29,35,17,50,50,54,57,48,39,25,47
61,59,48,33,30,46,38,49,53,39,50,35,36,33,40,22,36,28,55,48,27,43,19,43,51,56,53,51,39,21,50
62,62,43,40,32,51,37,46,50,40,38,35,36,24,48,22,47,25,47,52,18,40,30,47,56,51,59,52,34,22,47
63,63,43,33,35,50,41,37,53,33,30,39,48,22,47,17,42,33,58,46,34,41,17,44,56,52,57,46,42,27,45
64,68,46,35,25,53,42,36,56,34,35,39,41,23,44,20,36,30,50,36,36,47,20,45,56,51,61,57,51,12,46
65,59,43,36,37,49,46,49,51,35,35,37,40,19,41,18,40,23,53,47,23,40,28,43,56,52,54,50,53,24,50
66,64,43,35,28,46,48,51,56,31,50,38,33,26,48,17,39,28,47,47,21,43,24,49,51,51,53,46,47,19,52
67,64,51,27,26,43,52,41,57,34,34,29,35,26,40,19,50,41,56,39,33,41,23,45,56,50,54,52,47,21,45
68,61,48,36,28,49,47,44,49,40,42,29,28,36,49,13,46,36,53,47,24,36,21,47,45,52,59,44,47,28,47
69,60,51,39,28,54,47,38,47,28,47,34,31,24,46,27,47,22,55,50,24,40,21,42,47,52,61,55,45,21,48
70,70,48,33,35,52,45,46,50,38,42,44,38,21,40,20,48,22,57,39,22,38,18,48,49,49,56,46,45,29,43
71,68,48,39,29,54,38,48,53,36,38,38,32,23,39,17,51,25,50,44,26,42,23,45,51,51,54,44,49,28,48
72,60,46,33,35,50,54,43,60,40,35,27,31,25,38,28,45,30,52,44,20,35,34,42,57,45,49,53,52,21,47
73,63,42,37,27,44,55,50,51,29,46,39,43,28,40,26,35,18,54,44,21,46,27,45,55,53,49,53,39,26,46
74,61,48,34,19,43,46,53,49,29,34,47,41,29,39,24,52,24,53,51,30,40,25,48,50,50,52,41,48,28,43
75,63,45,42,27,57,42,43,56,37,40,37,43,16,42,13,47,25,53,34,25,43,20,47,50,55,57,52,46,24,50
76,62,48,32,30,54,47,47,60,32,39,45,35,26,37,26,45,25,51,45,21,35,26,42,52,50,54,41,44,27,53
77,61,54,34,33,59,49,36,50,32,42,38,36,24,38,24,40,23,52,43,19,47,27,43,59,45,58,48,46,25,46
78,66,45,37,23,45,52,39,54,39,37,31,44,22,34,23,48,30,55,39,27,39,25,55,52,58,60,40,38,22,52
79,63,46,29,34,47,44,37,49,38,37,43,41,26,39,26,47,27,49,47,25,51,23,47,51,58,48,50,36,29,44
80,65,46,28,31,57,40,47,49,30,40,48,37,22,49,21,51,25,48,44,36,41,18,43,50,51,43,48,41,27,55
81,65,48,31,28,55,48,43,58,28,38,40,28,27,38,20,45,28,57,49,21,44,15,43,58,52,54,51,50,21,48
82,67,48,39,25,49,49,38,58,39,49,34,37,23,37,24,44,25,50,42,24,41,29,39,52,57,51,47,39,27,48
83,65,42,30,27,51,52,37,55,39,41,41,29,20,40,19,49,25,48,40,27,43,22,46,56,55,56,45,51,27,53
84,63,52,22,22,57,47,45,52,33,40,36,36,22,44,24,54,26,53,42,24,40,25,48,56,52,56,49,40,25,46
85,68,48,31,30,41,51,44,51,27,41,40,39,21,39,20,45,22,52,48,28,47,25,49,40,57,56,46,46,31,48
86,60,39,39,34,49,52,36,53,39,41,34,40,21,49,17,47,30,54,47,19,33,17,42,56,45,57,50,48,27,56
87,65,42,31,41,46,47,51,61,26,42,31,32,18,38,23,51,32,48,44,23,41,25,44,53,55,57,42,48,26,48
88,62,44,30,39,48,41,39,50,34,53,34,44,24,47,27,42,16,55,46,22,43,21,49,52,54,51,53,40,25,46
89,59,49,29,29,48,47,35,58,32,38,47,44,22,47,19,49,20,54,51,31,42,19,43,61,49,46,46,43,21,53
90,65,41,35,30,52,47,39,53,36,43,40,39,24,36,14,46,40,56,47,23,35,30,39,60,49,61,52,34,23,42
91,64,48,34,21,53,53,43,51,33,37,27,42,22,36,29,46,27,53,39,22,46,27,52,51,57,54,44,54,18,48
92,66,53,29,29,56,41,43,43,34,45,33,39,26,45,24,49,27,55,37,29,35,25,39,46,55,57,43,43,30,55
93,62,51,41,30,47,46,42,53,32,39,35,35,29,43,19,44,21,53,44,21,38,25,46,49,56,54,45,49,31,51
94,69,53,34,32,52,49,49,48,39,39,38,27,22,34,19,49,27,52,44,27,28,27,46,54,56,55,48,48,22,44
95,67,48,36,30,53,47,44,51,25,46,36,39,22,41,20,43,31,54,39,26,41,26,44,54,49,50,47,47,26,49
96,63,55,30,27,57,45,44,51,39,43,38,32,28,52,16,47,23,48,44,21,41,21,44,52,52,56,47,46,20,49
97,65,49,35,30,52,40,44,54,42,42,33,38,20,40,20,47,38,50,44,24,37,21,43,60,52,54,52,44,18,43
98,71,54,34,26,45,50,45,55,32,42,42,40,23,40,15,44,20,50,37,27,34,26,44,58,56,58,46,49,22,46
99,68,50,35,27,47,44,38,56,32,39,34,40,23,46,19,41,24,54,42,28,45,35,50,52,48,64,44,42,16,48
100,67,47,36,27,47,39,45,53,32,34,38,41,29,42,19,43,28,59,47,28,33,24,49,50,55,54,51,46,18,50
101,63,45,37,27,54,50,37,59,39,42,36,35,20,42,18,53,23,55,41,27,36,23,46,50,55,50,46,46,24,52
102,64,44,36,23,54,46,44,52,34,44,40,41,23,39,23,50,21,51,45,21,44,23,41,51,48,57,47,45,23,57
103,64,41,34,33,48,48,37,54,33,36,40,30,24,34,15,43,26,57,54,30,48,20,51,51,56,49,49,47,29,50
104,63,53,41,28,48,47,46,57,35,42,38,37,27,40,20,41,29,53,42,22,35,19,50,55,50,52,44,42,24,51
105,59,36,32,29,53,52,35,54,28,43,32,36,29,37,32,42,30,61,55,31,43,18,43,53,57,56,49,42,22,42
106,62,41,36,34,44,48,45,55,37,28,33,34,23,51,25,46,28,55,48,21,45,32,47,52,48,56,44,51,14,48
107,66,50,35,29,47,50,42,51,30,40,43,37,21,43,20,46,31,58,38,23,37,29,48,50,52,54,48,51,15,47
108,69,47,35,37,45,49,38,58,26,46,34,39,28,45,21,52,31,47,43,22,38,20,39,47,47,51,49,45,30,53
109,65,47,38,29,43,45,48,41,43,48,27,44,28,44,21,44,19,49,43,22,38,21,35,60,54,55,45,48,32,55
110,67,48,36,31,49,44,39,54,34,39,47,34,22,44,19,48,35,53,47,21,38,21,48,51,49,50,50,38,30,45
111,66,49,31,35,49,51,31,58,29,40,39,27,22,47,26,46,22,48,41,34,42,23,50,50,53,53,50,50,22,47
112,65,40,29,21,53,50,41,57,38,39,40,40,28,43,14,48,33,51,42,27,42,19,43,50,41,57,54,46,24,56
113,70,44,34,38,48,48,38,53,27,41,31,38,30,44,18,42,33,54,43,23,41,18,50,51,51,56,52,47,28,40
114,64,45,35,34,51,43,36,48,27,42,40,40,25,47,24,44,27,53,50,29,38,17,47,53,54,50,47,38,34,49
115,62,46,37,33,47,50,48,61,42,29,38,30,30,47,23,44,27,49,37,22,41,20,46,51,53,55,43,42,24,54
116,58,47,38,29,51,44,43,48,35,39,41,33,20,40,17,51,28,49,54,25,41,20,45,50,57,55,54,47,22,50
117,66,46,34,33,48,50,45,55,37,44,42,36,25,40,16,46,30,50,42,22,37,27,42,57,50,46,47,47,28,43
118,62,53,34,33,43,45,44,53,33,40,35,39,22,37,19,44,29,61,49,21,36,21,42,48,49,59,50,50,29,51
119,60,51,30,43,48,50,42,58,31,37,36,39,25,42,22,43,25,55,44,28,38,18,47,52,49,52,53,44,23,46
120,65,47,38,26,46,47,49,51,39,42,39,28,21,43,22,44,34,53,42,20,38,29,49,49,53,48,53,44,32,40
121,67,51,34,34,47,45,46,55,38,34,42,28,26,35,27,42,26,51,47,28,40,29,42,44,54,54,50,42,18,55
122,69,49,30,30,48,54,55,51,38,41,41,42,19,49,16,50,36,55,42,17,36,20,47,45,44,52,41,40,25,49
123,62,42,36,27,53,50,38,62,39,38,46,38,21,44,16,43,21,47,49,20,36,28,45,51,57,58,42,43,24,55
124,64,49,35,33,52,51,42,56,40,38,34,24,23,49,21,44,26,56,36,26,46,21,52,49,51,47,50,49,19,48
125,65,46,34,36,53,48,39,52,37,37,31,31,32,38,18,49,31,48,42,18,46,27,50,49,52,52,51,51,23,45
126,68,48,36,30,53,51,34,52,37,43,38,39,29,39,30,50,26,54,46,17,45,21,42,49,43,53,43,41,23,51
127,66,47,30,25,57,55,40,44,32,37,40,37,25,42,18,49,27,47,41,29,41,24,43,60,55,56,47,49,18,50
128,58,38,31,34,51,42,42,59,35,39,37,39,24,48,18,39,20,58,45,18,48,24,48,60,53,54,52,44,23,50
129,59,49,33,36,51,50,39,49,35,41,38,35,29,37,15,48,25,49,47,21,47,32,51,53,59,51,46,43,21,42
130,59,43,31,29,56,51,44,58,43,36,39,42,23,45,23,48,30,48,41,21,39,26,52,55,48,53,39,42,17,50
131,62,40,33,24,52,45,44,56,28,42,39,38,28,43,23,59,20,53,49,24,39,30,38,58,55,54,48,42,18,47
132,58,39,29,32,46,53,42,51,39,42,31,28,20,44,22,53,36,50,45,23,43,23,42,59,52,57,54,43,25,50
133,57,48,37,31,48,40,49,62,36,41,33,37,24,49,20,34,32,46,40,27,41,23,43,57,48,58,53,40,24,53
134,64,50,32,32,52,37,42,51,41,32,33,36,28,38,26,38,32,53,38,25,48,20,51,54,52,55,50,44,30,47
135,61,52,24,33,54,40,49,48,43,39,41,37,26,45,20,45,23,53,44,23,40,17,51,54,51,58,48,46,20,46
136,61,46,36,35,48,49,39,56,33,40,43,35,28,37,18,47,26,55,42,25,42,21,43,57,51,47,49,46,22,54
137,65,47,33,24,42,48,40,50,44,44,42,34,20,45,25,45,26,53,42,29,43,30,45,50,51,54,46,46,26,42
138,64,41,34,31,47,42,45,55,40,29,37,34,28,41,34,45,34,53,44,29,47,25,34,57,51,49,47,47,27,40
139,67,41,38,34,52,48,42,59,30,40,42,40,22,42,25,43,23,48,43,20,32,23,50,49,50,51,52,45,26,54
140,66,50,26,33,51,52,41,54,37,38,39,40,20,44,29,46,30,61,36,17,35,24,44,44,56,51,49,46,22,50
141,70,46,32,33,57,46,42,47,32,35,37,28,26,42,19,45,34,61,44,24,47,19,47,49,54,59,45,41,23,47
142,57,45,38,28,56,47,37,50,39,47,35,38,26,39,20,38,33,47,46,26,42,17,53,53,56,51,45,43,28,51
143,64,51,29,28,58,54,41,60,38,47,40,31,28,41,24,48,25,40,46,19,27,21,44,55,49,56,53,42,25,47
144,62,54,26,28,49,51,34,51,30,42,43,38,32,47,25,45,28,54,44,23,37,20,48,55,52,58,41,46,25,43
145,64,48,32,29,48,49,49,56,29,36,30,45,21,34,19,44,35,48,46,26,35,27,48,49,55,54,46,46,24,59
146,67,49,24,35,56,37,47,55,30,49,43,38,29,40,18,45,28,53,45,25,36,19,43,52,52,48,44,49,20,55
147,64,48,39,37,49,34,46,45,39,41,30,41,24,48,15,45,28,57,42,31,43,14,41,52,45,54,56,45,26,52
148,64,41,35,36,42,47,46,55,41,44,34,38,27,35,18,42,27,58,45,22,44,23,53,51,51,58,44,45,15,50
149,65,45,40,34,47,36,40,57,25,35,32,44,21,41,31,42,28,61,49,18,36,27,50,49,51,56,53,37,27,54
150,62,49,29,32,53,44,41,56,33,47,44,42,21,40,22,50,27,55,46,28,37,25,42,50,54,47,44,43,22,46
151,61,45,37,40,50,50,43,47,28,43,24,33,20,37,24,38,30,60,48,21,45,27,47,55,52,54,49,53,22,48
152,61,46,36,42,46,45,48,56,32,31,38,41,19,47,16,47,27,48,51,25,34,29,44,55,48,57,46,41,27,48
153,64,47,22,31,50,45,46,50,42,45,42,36,29,34,21,45,29,47,50,23,36,22,45,55,61,58,56,39,17,44
154,67,52,28,43,54,45,44,51,39,36,31,41,26,48,22,49,25,53,44,23,31,21,45,44,54,47,50,44,24,50
155,53,45,27,32,56,52,47,53,35,36,43,27,25,49,19,48,29,60,55,23,42,19,32,52,54,48,57,46,20,47
156,65,48,33,30,57,46,46,51,44,40,40,32,26,45,15,51,30,57,42,23,41,26,40,47,52,50,50,35,25,44
157,61,49,29,24,53,43,40,54,33,35,35,46,21,39,22,50,21,51,44,24,41,27,42,57,50,59,48,52,25,56
158,64,46,34,27,52,46,42,56,24,41,29,41,29,35,25,51,33,52,43,22,38,30,55,50,50,52,51,47,29,37
159,62,42,35,35,51,54,43,52,35,36,40,40,27,41,22,52,22,53,37,21,44,23,44,57,44,55,51,49,19,45
160,69,45,28,27,55,50,36,58,26,45,35,36,17,53,29,40,25,54,48,31,48,26,43,49,55,47,46,41,25,44
161,68,50,28,25,54,50,48,52,36,41,42,34,23,44,16,47,24,54,44,24,42,21,42,47,46,57,56,49,23,44
162,73,45,30,30,44,45,44,54,27,44,35,40,31,43,21,42,21,51,49,32,44,21,45,46,60,50,52,47,21,44
163,64,54,28,36,49,47,36,54,33,33,30,35,25,39,18,48,33,56,47,31,43,28,39,63,55,47,55,41,21,43
164,65,47,33,21,48,53,45,56,31,42,43,32,23,44,20,38,21,56,47,26,40,25,43,53,51,54,47,48,25,54
165,63,40,30,40,47,50,50,46,33,39,27,40,25,37,28,48,25,54,50,24,37,21,48,41,58,56,52,47,25,50
166,62,53,27,30,47,50,46,57,39,42,35,45,25,39,30,40,24,51,48,24,33,24,52,53,48,49,48,42,23,45
167,61,42,36,30,58,48,44,54,30,37,31,43,21,33,13,43,32,50,47,27,39,24,55,53,53,57,48,46,23,53
168,66,54,31,30,51,44,41,52,34,39,43,33,23,43,29,40,23,51,40,22,45,23,44,48,56,52,50,39,27,58
169,65,50,38,31,53,39,50,55,44,29,42,41,17,42,20,45,23,58,47,21,39,29,37,53,55,51,48,43,14,52
170,67,51,35,32,54,56,50,52,38,37,41,32,23,43,17,46,20,51,52,21,35,25,44,50,47,57,42,41,24,48
171,59,50,27,32,54,45,42,49,25,43,36,33,28,42,22,43,31,54,54,30,44,24,47,54,45,57,48,40,18,55
172,66,49,42,27,44,48,46,58,33,40,36,40,24,34,24,49,31,55,33,21,39,23,44,50,46,59,51,48,24,47
173,59,46,37,20,53,44,38,54,40,43,39,36,19,39,23,47,33,58,45,22,42,30,43,50,55,51,50,34,29,52
174,66,49,32,29,50,34,40,53,30,40,36,45,23,47,25,45,22,55,52,14,43,26,38,55,52,53,53,47,27,50
175,61,49,33,31,44,56,40,54,43,38,31,36,37,43,17,45,24,55,39,23,45,27,43,53,52,49,44,42,27,50
176,57,41,38,21,57,45,38,49,37,38,37,35,25,49,19,47,27,52,52,27,37,21,45,53,50,56,55,45,28,50
177,58,45,30,24,53,48,47,52,37,42,41,38,24,46,15,49,31,57,43,28,32,21,47,52,54,48,47,50,19,53
178,62,51,30,22,52,48,45,61,37,42,27,30,28,47,24,46,21,55,50,28,38,25,50,50,45,55,48,46,25,43
179,61,47,40,33,47,50,31,52,35,35,47,42,21,47,18,54,19,55,49,26,34,24,44,60,44,55,45,49,24,43
180,64,44,32,29,53,55,46,45,39,38,29,36,23,34,21,45,33,55,47,24,36,24,44,54,55,53,49,46,21,57
181,64,51,35,36,55,43,41,57,35,36,44,46,26,41,15,49,29,55,50,17,33,24,45,48,47,56,46,41,24,42
182,63,53,26,39,43,43,44,53,41,42,38,30,23,43,21,49,26,58,47,21,44,20,40,55,57,49,54,44,20,45
183,61,47,31,24,53,46,39,58,35,38,38,35,27,46,13,44,29,54,44,24,46,22,48,53,56,55,45,42,26,52
184,65,44,35,31,47,46,48,51,42,32,34,40,20,47,15,46,23,56,41,23,43,22,56,54,46,53,51,50,28,42
185,65,50,39,35,48,52,39,51,40,40,39,38,20,37,24,44,22,51,50,18,40,27,47,53,52,47,53,34,26,50
186,64,51,31,35,48,42,39,48,36,38,42,43,22,49,26,50,24,46,53,24,38,22,44,48,55,52,45,46,21,49
187,59,43,31,31,51,48,43,59,35,32,39,37,33,36,20,54,33,56,38,21,40,22,47,54,54,51,51,42,23,48
188,66,48,34,33,48,42,43,53,35,38,43,42,27,35,18,44,27,55,47,27,40,22,46,53,56,51,44,41,25,48
189,65,51,25,30,57,43,36,54,28,39,43,45,22,41,15,45,26,48,49,28,38,29,43,53,52,46,42,50,33,55
190,60,47,29,31,46,57,44,56,34,36,46,30,23,45,10,47,32,57,37,27,40,28,47,56,53,52,52,44,20,45
191,62,43,32,28,46,50,44,49,44,37,46,40,25,46,20,52,33,51,40,16,38,23,46,54,50,56,48,45,18,49
192,65,45,34,35,46,43,49,58,34,41,40,32,41,37,20,50,30,59,44,20,38,17,46,48,49,50,56,37,21,46
193,66,34,31,33,56,53,41,52,33,36,46,36,27,44,25,54,22,50,41,20,38,26,35,59,52,60,50,43,19,49
194,60,53,31,35,46,41,51,56,35,45,38,39,19,44,22,45,19,51,45,23,43,24,47,46,53,50,39,48,27,56
195,65,47,31,31,57,45,33,58,30,39,43,35,25,42,29,40,20,55,45,25,35,35,47,47,52,53,49,52,23,43
196,63,40,37,28,45,51,40,58,37,43,39,42,17,42,27,43,22,62,40,24,40,37,44,47,51,49,49,43,17,54
197,63,55,34,33,46,44,49,63,39,37,42,36,25,38,17,41,23,54,45,20,42,22,40,54,56,48,53,41,26,45
198,65,44,36,35,59,44,36,40,38,40,36,44,31,47,22,51,30,51,40,30,43,20,46,46,45,52,44,41,24,51
199,59,41,35,28,45,42,46,56,44,37,43,29,21,37,20,44,30,56,48,27,41,23,46,55,48,51,50,50,30,49
200,63,51,27,31,55,43,33,53,38,38,46,39,25,37,19,37,23,56,48,23,43,29,44,49,50,58,51,42,29,51
201,62,47,39,32,49,43,44,52,39,33,40,33,18,40,19,44,31,49,40,28,43,30,40,54,50,53,49,53,25,52
202,67,40,43,28,48,39,46,51,35,36,45,30,21,48,22,42,32,50,45,24,40,26,43,51,51,53,54,47,30,44
203,61,47,32,36,49,48,41,54,26,39,38,36,26,36,15,50,30,55,42,17,42,24,48,54,56,54,50,46,26,53
204,55,50,35,36,50,47,39,55,33,37,42,32,18,39,26,44,24,56,42,20,48,20,53,48,54,53,52,53,25,45
205,67,50,37,27,46,44,43,46,31,43,45,42,21,35,24,46,28,53,54,28,45,16,41,46,50,57,49,44,19,54
206,64,43,32,21,61,36,43,54,42,37,48,29,19,44,24,51,30,49,47,22,35,29,41,56,48,58,48,48,26,46
207,61,54,25,36,57,46,44,56,34,41,38,34,27,41,23,43,23,56,39,24,36,27,47,48,52,51,47,47,24,50
208,68,46,35,34,42,41,46,54,37,29,38,34,27,43,17,54,32,50,51,18,39,24,47,51,55,46,46,45,32,50
209,61,49,32,32,50,38,43,54,32,51,30,35,27,43,24,42,28,48,42,18,37,26,51,49,47,55,52,51,34,50
210,62,52,39,22,55,45,48,55,33,45,41,39,32,45,20,36,22,48,44,31,31,18,52,57,51,56,38,42,22,50
211,64,44,33,37,56,48,43,58,34,28,36,43,21,41,18,45,24,55,46,22,46,26,41,54,53,56,43,42,23,51
212,64,44,35,29,50,53,42,55,34,41,39,38,28,46,22,47,23,55,39,24,45,18,43,52,53,58,42,46,25,41
213,64,41,38,33,48,45,38,56,31,39,36,37,28,34,26,43,33,53,48,25,48,22,47,48,47,63,50,42,23,45
214,64,46,31,27,48,43,45,54,33,42,42,35,24,53,21,48,16,56,52,25,39,23,46,54,57,51,45,43,21,47
215,64,55,34,36,47,50,43,55,26,42,37,38,18,41,18,47,14,56,52,15,40,23,54,52,43,54,47,52,26,52
216,61,54,38,23,54,49,39,55,29,45,35,32,23,43,12,38,23,52,46,24,46,29,52,54,55,50,52,42,28,48
217,62,48,37,20,39,54,46,57,29,36,38,39,27,48,21,49,24,54,45,25,43,26,49,56,40,56,42,49,24,48
218,61,46,35,36,48,42,45,52,39,39,35,33,25,46,26,39,23,59,47,21,40,20,57,60,46,44,53,42,22,50
219,66,43,33,29,43,52,41,58,34,45,42,36,20,48,24,44,29,51,42,22,44,25,44,51,56,56,48,50,18,37
220,64,43,37,31,46,49,41,56,39,46,35,33,32,42,22,50,16,50,40,30,39,24,45,47,49,54,47,47,23,54
